alg,family,role,layer,n_seeds,inert,late_censored,R,R_lo,R_hi,R_mid,drift,drift_lo,drift_hi,A_early,A_mid,A_late,A0_early,A0_late,B_early,B_mid,B_late,A0_mid
ActorCriticMLP,sat_persist,critic,pre2,30,False,False,0.3509126,0.17936228,0.5934751,0.5111381,3.0699139,0.45209038,7.249776,0.0395938903093338,0.02259642630815506,0.01755700819194317,0.013369227759540081,0.008354444988071918,0.18966428935527802,0.19658993184566498,0.27017173171043396,0.00919200386852026
ActorCriticMLPReLU,eff_rank,actor,pre1,30,False,False,1.015933,0.49224332,2.1160254,1.708847,-1.8440226,-3.1850212,-1.2187289,4.194707870483398,5.638169765472412,4.732450485229492,1.716044545173645,2.21429443359375,54.69059371948242,52.89075469970703,50.1198844909668,1.4025129079818726
ActorCriticMLPReLU,eff_rank,critic,pre1,30,False,False,0.9803048,0.60966706,1.5518698,1.2250559,-2.9502957,-3.9814613,-2.1685088,4.400004863739014,4.99186897277832,5.285617351531982,1.6737513542175293,2.613057851791382,52.18372344970703,48.67037582397461,44.14046096801758,1.6520556211471558
ActorCriticMLPReLU,eff_rank,actor,rtu,30,False,False,0.9170705,0.52830344,1.5062826,1.5070635,-1.3385347,-1.9518578,-0.902788,41.78004455566406,50.499549865722656,40.77964782714844,15.929617881774902,17.072980880737305,252.82037353515625,239.74081420898438,218.2186737060547,11.541319847106934
ActorCriticMLPReLU,eff_rank,critic,rtu,30,False,False,1.2319595,0.72424257,2.0255702,1.8358499,-4.9856343,-7.28734,-3.6611958,31.83626937866211,40.49798583984375,31.36638069152832,15.83637523651123,11.655158042907715,193.3604278564453,153.721435546875,113.5908203125,11.124585151672363
ActorCriticMLPReLU,eff_rank,actor,pre2,30,False,False,0.8364776,0.5889212,1.1206448,1.2280251,-4.3262753,-5.2937174,-3.5824902,4.042141437530518,4.298593044281006,3.411914825439453,1.6038053035736084,1.372301459312439,33.381412506103516,27.488550186157227,22.83249855041504,1.304255723953247
ActorCriticMLPReLU,eff_rank,critic,pre2,30,False,False,0.40045092,0.2828303,0.5225425,0.8027112,-0.5845694,-0.90906745,-0.3287103,7.252732276916504,5.832784652709961,3.4984328746795654,1.802717685699463,1.3159698247909546,20.229074478149414,19.77335548400879,17.043163299560547,1.4579969644546509
ActorCriticMLPReLU,dormant,actor,pre1,30,False,False,0.849172,0.24626791,3.2678316,1.9121017,1.1442037,0.518323,3.6323352,0.01908079907298088,0.03364301472902298,0.027076296508312225,0.005268158856779337,0.01534698810428381,0.0021924267057329416,0.004983108025044203,0.017996903508901596,0.007231841329485178
ActorCriticMLPReLU,dormant,critic,pre1,30,False,False,2.7151918,1.7206765,4.558178,2.588354,6.9861627,4.10588,12.368088,0.027618246152997017,0.054553769528865814,0.07024211436510086,0.015410332009196281,0.03709530085325241,0.02134009450674057,0.04807854816317558,0.10662653297185898,0.022955376654863358
ActorCriticMLPReLU,dormant,actor,rtu,30,False,False,0.75551045,0.46631232,1.2652637,1.3150597,-1.4956678,-2.4833174,-0.9031316,0.05071129649877548,0.053885575383901596,0.04091532900929451,0.019537849351763725,0.01736346073448658,0.20553649961948395,0.1730526089668274,0.15891136229038239,0.012890624813735485
ActorCriticMLPReLU,dormant,critic,rtu,30,False,False,0.5455992,0.37338498,0.712787,0.6800205,0.93450534,0.6550174,1.1913381,0.11296364665031433,0.0738813504576683,0.06472322344779968,0.03670467436313629,0.023116379976272583,0.22199685871601105,0.27581778168678284,0.29326125979423523,0.02202368527650833
ActorCriticMLPReLU,dormant,actor,pre2,30,False,False,1.0823569,0.6707359,1.7626541,1.3834226,6.8057775,5.034156,9.739796,0.06958051770925522,0.08344241976737976,0.07482053339481354,0.02962767519056797,0.031577277928590775,0.2155018299818039,0.3788463771343231,0.4874120056629181,0.028170747682452202
ActorCriticMLPReLU,dormant,critic,pre2,30,False,False,0.34022546,0.20790683,0.49416208,0.48432365,-0.46391755,-0.60394603,-0.2970762,0.2562711238861084,0.13632459938526154,0.09045255929231644,0.0739864930510521,0.028434686362743378,0.5756720900535583,0.47694259881973267,0.49110710620880127,0.048039842396974564
ActorCriticMLPReLU,dormant_persist,actor,pre1,30,True,False,nan,nan,nan,nan,nan,nan,nan,0.0,0.0004434121656231582,0.0006862331065349281,0.0,0.00016539978969376534,0.0,0.0010944537352770567,0.00511331669986248,0.00018299549992661923
ActorCriticMLPReLU,dormant_persist,critic,pre1,30,False,False,15.074322,5.398849,60.972275,4.817567,90.37162,31.26316,403.43848,0.0005876970826648176,0.00418426189571619,0.012324041686952114,6.686373671982437e-05,0.004472832661122084,0.0004574887570925057,0.007006616331636906,0.0475260429084301,0.0016751125222072005
ActorCriticMLPReLU,dormant_persist,actor,rtu,30,False,False,0.5192864,0.32288143,0.7810096,0.5737705,1.2667551,-1.2774026,3.9810677,0.0056469072587788105,0.003385416930541396,0.003468556562438607,0.001997553976252675,0.0015734973130747676,0.09889323264360428,0.10766381770372391,0.10351607203483582,0.0012915261322632432
ActorCriticMLPReLU,dormant_persist,critic,rtu,30,False,False,0.91757905,0.65952563,1.2193379,1.2692419,13.192563,9.359221,18.008781,0.014988036826252937,0.017668303102254868,0.014609287492930889,0.0042603639885783195,0.004765800666064024,0.06300587952136993,0.15476933121681213,0.20453132688999176,0.004052293952554464
ActorCriticMLPReLU,dormant_persist,actor,pre2,30,False,False,0.79131126,0.5434802,1.120224,0.6340832,18.097233,14.384994,23.630913,0.01788428984582424,0.015121761709451675,0.018880212679505348,0.004275760147720575,0.008111625909805298,0.08194678276777267,0.17721356451511383,0.3282235860824585,0.00649282056838274
ActorCriticMLPReLU,dormant_persist,critic,pre2,30,False,False,0.48646417,0.25990167,0.77371955,0.6740679,3.5894086,2.160103,5.7580805,0.047174129635095596,0.02782939001917839,0.022557716816663742,0.017535893246531487,0.00813977885991335,0.2907094657421112,0.333452969789505,0.39709317684173584,0.007851210422813892
RealTimeActorCriticMLP,eff_rank,actor,pre1,30,False,False,0.8500745,0.7559944,0.95734644,0.92824143,-1.6513239,-1.9538041,-1.4109668,2.0525319576263428,1.89686918258667,1.7441805601119995,0.3992394804954529,0.3387588560581207,53.848323822021484,51.79358673095703,51.11820602416992,0.3622146546840668
RealTimeActorCriticMLP,eff_rank,critic,pre1,30,False,False,1.2852831,0.99498886,1.7101992,1.4315984,-8.541886,-12.462028,-6.0541425,0.8787580132484436,1.0845710039138794,0.9950053095817566,0.35610541701316833,0.32324880361557007,50.06665802001953,46.7345085144043,45.60222625732422,0.33634236454963684
RealTimeActorCriticMLP,eff_rank,actor,rtu,30,False,False,1.3494809,1.0388774,1.7624096,1.2663348,0.064288005,-0.63107836,0.6919979,20.16239356994629,23.068096160888672,22.56195068359375,9.273545265197754,7.867656230926514,415.35986328125,413.18133544921875,416.0599670410156,9.279168128967285
RealTimeActorCriticMLP,eff_rank,critic,rtu,30,False,False,0.6298831,0.5445734,0.73937523,0.9023047,0.43559152,0.23174316,0.63462967,44.57927322387695,39.96749496459961,29.95676612854004,9.243291854858398,7.699233531951904,270.294921875,283.4072570800781,285.6869812011719,8.083671569824219
RealTimeActorCriticMLP,eff_rank,actor,pre2,30,False,False,0.34109345,0.27730045,0.40380993,0.43894154,0.21522707,-0.008096386,0.43580234,3.745577335357666,1.794616937637329,1.4538772106170654,0.5208501815795898,0.3539438843727112,34.73515319824219,35.67042541503906,35.429203033447266,0.3791502118110657
RealTimeActorCriticMLP,eff_rank,critic,pre2,30,False,False,0.5643183,0.43988147,0.72927755,0.8953487,2.2136948,1.8280597,2.7962186,2.0461621284484863,1.9244550466537476,1.4364691972732544,0.4964645206928253,0.5619463324546814,12.970580101013184,15.090521812438965,16.40113639831543,0.5369352698326111
RealTimeActorCriticMLP,sat_rate,actor,pre1,30,True,True,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.00019355291442479938,0.0,0.00019355291442479938,0.0,0.0,0.00019355291442479938,0.0
RealTimeActorCriticMLP,sat_rate,critic,pre1,30,False,False,0.21019377,0.07992559,0.3773835,0.3460405,-1.1735471,-1.4738628,-0.91668206,0.030412442982196808,0.013809120282530785,0.009871197864413261,0.013703546486794949,0.006359093356877565,0.03431869298219681,0.018704252317547798,0.014710022136569023,0.008027167990803719
RealTimeActorCriticMLP,sat_rate,actor,pre2,30,False,False,1.4557062,1.2208598,1.7173121,1.1549624,0.24871655,0.18713537,0.33745253,0.13279841840267181,0.1549408733844757,0.18848183751106262,0.025858672335743904,0.03280898183584213,0.02748803235590458,0.04375704377889633,0.05408572405576706,0.0314294770359993
RealTimeActorCriticMLP,sat_rate,critic,pre2,30,False,False,0.94215655,0.7115942,1.2231513,1.0950487,-1.8295234,-2.2852507,-1.4529195,0.05387105047702789,0.0568799264729023,0.05302998051047325,0.015846705064177513,0.017205094918608665,0.8051449656486511,0.7590159773826599,0.7355785965919495,0.015241408720612526
RealTimeActorCriticMLP,sat_persist,actor,pre1,30,True,True,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RealTimeActorCriticMLP,sat_persist,critic,pre1,30,False,False,0.66233754,-7.1328974,5.2042127,2.6428566,4.688311,-78.853134,47.411964,0.0021818692330271006,0.0022100224159657955,0.0006158502073958516,0.001639920985326171,0.00025689753238111734,0.005437077954411507,0.008720438927412033,0.007977900095283985,0.0007777308346703649
RealTimeActorCriticMLP,sat_persist,actor,pre2,30,True,False,nan,nan,nan,nan,nan,nan,nan,0.0,0.0009220158099196851,0.0008973817457444966,0.0,0.0005243524792604148,0.0,0.0003800675622187555,0.001435810816474259,0.0004011824494227767
RealTimeActorCriticMLP,sat_persist,critic,pre2,30,False,False,0.18294135,0.12378892,0.24246655,0.16061546,-0.88978004,-1.5166839,-0.3143211,0.04292651638388634,0.009593186900019646,0.010796734131872654,0.010455378331243992,0.004856419749557972,0.6946474313735962,0.6941195130348206,0.6657552123069763,0.004377820063382387
RealTimeActorCriticMLP,dormant,actor,rtu,30,False,False,1.3591204,1.107958,1.650493,1.3003061,1.2459085,0.9892879,1.5667995,0.030088240280747414,0.03613830730319023,0.03580179065465927,0.01484903134405613,0.015089869499206543,0.13871455192565918,0.15540912747383118,0.15770120918750763,0.016322670504450798
RealTimeActorCriticMLP,dormant,critic,rtu,30,False,False,0.48145732,0.42335778,0.5418187,0.6545842,0.2014507,0.086273365,0.32661036,0.12261709570884705,0.0803988054394722,0.06251341849565506,0.025766735896468163,0.015884097665548325,0.35556796193122864,0.3661247193813324,0.3750785291194916,0.017002083361148834
RealTimeActorCriticMLPReLU,eff_rank,actor,pre1,30,False,False,1.0672323,0.73790216,1.7146853,0.91894954,-1.0929317,-1.9372637,-0.50004065,2.335183620452881,1.8357443809509277,2.0864710807800293,0.8263497948646545,0.47619515657424927,53.373085021972656,52.86027526855469,51.72402572631836,0.4492024779319763
